"GeneName","Ensembl","ENTREZID","exp.1","exp.2","avg_log2FC","p_val","p_val_adj","pct.1","pct.2","Description"
"UBA1","ENSG00000130985",7317,0.512000882462862,0.37332500522637,0.456351965453737,3.64216063621858e-05,0.894223279404386,0.217,0.143,"ubiquitin like modifier activating enzyme 1"
"PEX2","ENSG00000164751",5828,0.450142690321298,0.328243141779644,0.456342982548128,0.00139595667809058,1,0.176,0.124,"peroxisomal biogenesis factor 2"
"CDK5RAP2","ENSG00000136861",55755,0.121484212277081,0.0887554997759983,0.455553421454656,0.0780173267561816,1,0.048,0.033,"CDK5 regulatory subunit associated protein 2"
"HSPA1A","ENSG00000204389",3303,8.04738325162095,5.86899018642849,0.455448150968204,7.99056057835405e-05,1,0.587,0.483,"heat shock protein family A (Hsp70) member 1A"
"EXT2","ENSG00000151348",2132,0.37141493841711,0.271078388422161,0.455204115848308,0.00117224319600704,1,0.153,0.103,"exostosin glycosyltransferase 2"
"CCDC71","ENSG00000177352",64925,0.146347478329208,0.106935493292148,0.454897601721656,0.00174541443281669,1,0.074,0.041,"coiled-coil domain containing 71"
"ZSWIM4","ENSG00000132003",65249,0.128742832558426,0.0940930407266097,0.45487893626836,0.0095044278752385,1,0.063,0.038,"zinc finger SWIM-type containing 4"
"IMMP1L","ENSG00000148950",196294,0.243326886281473,0.177746401922967,0.45442534902888,0.000151095406397113,1,0.122,0.071,"inner mitochondrial membrane peptidase subunit 1"
"MED17","ENSG00000042429",9440,0.260121479086382,0.19009811120448,0.453707046772519,0.00690022665844642,1,0.11,0.074,"mediator complex subunit 17"
"AP1B1","ENSG00000100280",162,0.262770735881606,0.192046494350918,0.453602356684688,0.000256664600124032,1,0.131,0.079,"adaptor related protein complex 1 subunit beta 1"
"ZNF658","ENSG00000274349",26149,0.0223468698635744,0.0164877492014744,0.453359104194971,0.0588671748774547,1,0.016,0.008,"zinc finger protein 658"
"TMEM92","ENSG00000167105",162461,0.0244937198469743,0.0180591636557363,0.453092033660377,0.0708885525165398,1,0.02,0.011,"transmembrane protein 92"
"ZCCHC2","ENSG00000141664",54877,0.156551957732179,0.114525784807588,0.453075738854009,9.17012815096221e-05,1,0.09,0.046,"zinc finger CCHC-type containing 2"
"GGA3","ENSG00000125447",23163,0.0902995317601624,0.0661322088261927,0.453016415228801,0.258697387867371,1,0.043,0.033,"golgi associated, gamma adaptin ear containing, ARF binding protein 3"
"C1GALT1","ENSG00000106392",56913,0.229252749081486,0.167671794681524,0.452739445632501,0.0542959921835638,1,0.079,0.057,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1"
"RNF214","ENSG00000167257",257160,0.183882586153299,0.1346257850755,0.451631965914093,0.000519459647381738,1,0.094,0.053,"ring finger protein 214"
"SLC37A1","ENSG00000160190",54020,0.0707478742246702,0.0519104076453154,0.451345762925313,0.00146607830731972,1,0.039,0.017,"solute carrier family 37 member 1"
"LRRC16A",NA,NA,0.0555096407167678,0.0407682680142183,0.451258924027626,0.258805712081398,1,0.032,0.024,NA
"PIK3R3","ENSG00000117461",8503,0.567460745376456,0.415213801462712,0.451251023640836,1.97704643348948e-09,4.85404440350336e-05,0.218,0.114,"phosphoinositide-3-kinase regulatory subunit 3"
"MTR","ENSG00000116984",4548,0.208758161287976,0.152911710261705,0.450725474910759,0.00259160647862577,1,0.104,0.066,"5-methyltetrahydrofolate-homocysteine methyltransferase"
"CHCHD4","ENSG00000163528",131474,0.120399507929844,0.088270723991205,0.450582608148829,0.0034328827757654,1,0.071,0.041,"coiled-coil-helix-coiled-coil-helix domain containing 4"
"C12orf43","ENSG00000157895",64897,0.208522768579461,0.152769405848759,0.450444229840727,0.00221495864365314,1,0.101,0.064,"chromosome 12 open reading frame 43"
"SPARC","ENSG00000113140",6678,14.6899302615346,10.7505441272416,0.450440517803119,1.00635782332668e-18,2.47080972783167e-14,0.845,0.642,"secreted protein acidic and cysteine rich"
"PVRL2",NA,NA,1.68639150865219,1.23441492202678,0.45030949687768,5.20548201886067e-09,0.000127804994527067,0.478,0.344,NA
"UNC45A","ENSG00000140553",55898,0.341003373604474,0.24976680214561,0.450180605241941,0.000730098411549826,1,0.151,0.1,"unc-45 myosin chaperone A"
"KPNA6","ENSG00000025800",23633,0.470343189764374,0.344440002968302,0.450169046871274,3.97716882926285e-06,0.0976474490960614,0.205,0.127,"karyopherin subunit alpha 6"
"FNBP1","ENSG00000187239",23048,0.8923584224634,0.653489588057165,0.449832618611574,1.70298724377743e-05,0.418117428092233,0.276,0.193,"formin binding protein 1"
"REEP6","ENSG00000115255",92840,0.0220831955023035,0.0163384223633871,0.449705356505329,0.412577649171132,1,0.01,0.007,"receptor accessory protein 6"
"MSI2","ENSG00000153944",124540,0.241483786725245,0.177023932946021,0.449363905556197,8.3437103160333e-08,0.0020485477567925,0.123,0.055,"musashi RNA binding protein 2"
"IGSF6","ENSG00000140749",10261,0.0577217933495955,0.0424455543158131,0.449277116907987,0.129899067876389,1,0.022,0.013,"immunoglobulin superfamily member 6"
"CCDC120","ENSG00000147144",90060,0.0317876512793995,0.0234513267507486,0.449265753023443,0.668874625287396,1,0.013,0.011,"coiled-coil domain containing 120"
"IFI44","ENSG00000137965",10561,1.0743191888281,0.787074399955208,0.449161725262251,5.39944653022239e-10,1.3256721121002e-05,0.338,0.202,"interferon induced protein 44"
"BAHD1","ENSG00000140320",22893,0.106008340434997,0.0778197911827148,0.449117386931135,0.0125955735747373,1,0.053,0.031,"bromo adjacent homology domain containing 1"
"USP32","ENSG00000170832",84669,0.180451048700971,0.132350909177459,0.449090112087149,0.000534575829840717,1,0.087,0.049,"ubiquitin specific peptidase 32"
"CH17-340M24.3",NA,NA,0.164536329133426,0.12069810225882,0.449033098995879,0.0198625057902456,1,0.076,0.051,NA
