"cytotoxicity_score","inflammatory_score","general_stress_score","PTGDR","PTGDR_level"
0.328453376861865,0.271947733768885,0.383045043462991,0,"-"
0.419863293205468,0.348899365232562,0.375903649720491,0,"-"
0.489134870434605,0.178143212442927,0.385049901952176,0,"-"
0.484492960620282,0.15449719737184,0.255173120262241,0,"-"
0.404764333809427,0.0789561602138164,0.516229109959903,0,"-"
0.702662721893491,0.142581387579346,0.431600667310563,0,"-"
0.463272801469088,0.0902037937562642,0.518175432434805,0,"-"
0.238216690471332,0.12008612049445,0.478619720783212,0,"-"
0.480055090797796,0.0898325847284606,0.343650305850675,0,"-"
0.0741685370332585,0.137273098481755,0.454868732987971,0,"-"
0.630381554784738,0.176547013623371,0.226153891181549,0,"-"
0.0761579269536829,0.0863803407698875,0.577399244885416,0,"-"
0.60712099571516,0.137718549315119,0.406635057218954,0,"-"
0.402417873903285,0.164037269386391,0.55963356455059,0,"-"
0.201693531932259,0.177920487026244,0.330582140662042,0,"-"
0.224801061007958,0.0962916218122425,0.41326426083648,0,"-"
0.546980208120792,0.174394001262111,0.499868293967864,0,"-"
0.0742195470312181,0.0205278592375367,0.498756109696491,0,"-"
0.098347276066109,0.24321615501689,0.476527058272602,0,"-"
0.348653336053867,0.1795166858458,0.494556150671701,0,"-"
0.518771679249133,0.263187200712721,0.480566043258115,0,"-"
0.443021832279127,0.145996510635139,0.457971141744959,0,"-"
0.433176902672924,0.33189799175916,0.250607311148184,0,"-"
0.52927973882881,0.222131482237648,0.209295519068107,0,"-"
0.29723525811059,0.276513604810869,0.514034009424298,0,"-"
0.538155478473781,0.180890159248673,0.43722012468171,0,"-"
0.198020812079168,0.0840417238947251,0.420332484561126,0,"-"
0.352632115894715,0.153532053899551,0.396420522726608,0,"-"
0.401856763925729,0.177623519804002,0.419132496268329,0,"-"
0.574627627014895,0.161513047997327,0.417932507975532,0,"-"
0.0904407263823709,0,0.416513009629174,0,"-"
0.117680065292797,0.0859348899365233,0.531228963619867,0,"-"
0.678637012854519,0.180184862095846,0.29673369040302,0,"-"
0.668588043256478,0.178551542373511,0.384142593730793,0,"-"
0.238369720465211,0.233007906752292,0.266587643047385,0,"-"
0.442715772291369,0.197928653624856,0.336889396201013,0,"-"
