"gene","HR","lower.95","upper.95","pvalue"
"Stage",1.48949696501805,1.21091424780595,1.83217037277236,0.000162
"T",1.19634101228494,0.899492525417944,1.59115476474908,0.217947
"N",1.18553219478698,0.936988597883937,1.50000393606768,0.156255
"M",1.02309412813106,0.824077826481727,1.27017323046425,0.836117
"Gender",1.2212576924804,0.84626861877379,1.76240772534334,0.285498
"Age",1.01586343893211,0.99750490370233,1.03455985301795,0.090745
"risk_score",5.21785244771073,1.46104112719367,18.6346459790464,0.010967
