,p.value,statistic.t,mean_case,mean_control,p.adjust,log2FC
Sunitinib_5,1.65476586082295e-07,5.44708243368739,17.9332337730711,14.1454549954821,1.41232342074889e-06,0.342297080174017
PHA.665752_6,1.4000444253212e-07,5.43918883825128,20.3300062095472,18.8423775929183,1.25321049778751e-06,0.109629635413375
MG.132_9,5.87354322742632e-07,5.19273973733033,0.950975329360466,0.769137554183152,3.99183400826937e-06,0.306166278625631
Cyclopamine_17,1.67983067633249e-06,4.94215353892554,134.953633860547,121.930809886198,9.20146057035859e-06,0.146401107345603
AZ628_29,4.15659745296032e-05,4.19333426854438,8.07902309399576,6.26817421642215,0.000139951492223526,0.366135576174991
Tozasertib_32,0.00373059207880238,2.94070366992751,4.48899888870078,3.9706133715636,0.00651965377581178,0.177031850179148
Imatinib_34,0.00518670080176475,2.82584341872256,22.0988384915479,20.9526963493112,0.0086918684668843,0.0768346313478352
Crizotinib_37,6.80807151928558e-07,5.12650780028888,17.2157363816898,15.1154321808086,4.54284045014147e-06,0.187705662584404
Saracatinib_38,0.000113374852179392,3.94469969725747,10.9156167042491,9.49759094224587,0.000323052275910216,0.200760114886571
S.Trityl.L.cysteine_41,0.000361425710190422,3.63235496574456,3.48810737668347,3.1549876058221,0.000850277151537724,0.144810114541659
Z.LLNle.CHO_45,5.66420933514131e-08,5.72629186370334,2.13293930057716,1.7568397216496,6.49614008124019e-07,0.279860331135753
Dasatinib_51,0.000182988059209915,3.85985264152787,2.21522438404927,1.28233085115462,0.000469626697412858,0.788684303024926
CGP.60474_53,6.92066976568028e-10,6.56131029784461,0.117465290521821,0.0937785923895878,2.87738418664269e-08,0.324903992407563
A.770041_55,6.04235929578075e-08,5.67379547715341,10.3217749098191,7.96896506416097,6.52219371044569e-07,0.37322679723464
WH.4.023_56,2.0061906830492e-09,6.36202121482108,13.6102496996092,9.12390830961249,5.13121650956039e-08,0.576969681876812
WZ.1.84_59,0.000453923722631916,3.57594844972957,50.1499882251473,45.8017781799707,0.00102833337164144,0.130845752391737
BMS.509744_63,0.00203024942462209,3.12784929641167,19.6493924504978,18.6157321439067,0.00384072958163044,0.0779623482496994
CMK_64,5.71325201183407e-07,5.20618110512455,9.70363051994059,8.16752314080069,3.95615752517567e-06,0.248625981546274
Pyrimethamine_71,0.000336120142708986,-3.64389858652859,48.7943922186198,54.3254641190316,0.00080101358684544,-0.154913241794471
JW.7.52.1_83,5.17761284329418e-05,4.15272933153398,0.165729558958583,0.148330428098968,0.000165233383781649,0.160016361000221
Parthenolide_89,0.000139795118610203,3.88141710553705,25.6068502819403,23.1215348287714,0.000380035618740329,0.147292639663476
GSK319347A_91,0.0292189959425937,2.19702559964774,56.4377746725444,54.973926889629,0.0420524372977721,0.0379135665080994
TGX221_94,6.15309852049784e-13,7.6760025846448,57.922935502617,53.9492898450454,1.99120423335489e-10,0.10253075017113
Bortezomib_104,9.54316208689885e-07,5.07745228573154,0.00337517683683597,0.00262097497814706,5.55927061252679e-06,0.364859511126035
XMD8.85_106,1.87636150006837e-08,5.88291286929468,17.0101288172654,13.3695140669326,2.73050380839906e-07,0.34744703685281
Seliciclib_110,0.0222834610835029,2.30359352945965,57.2798478485681,54.0799211331471,0.0328434948499822,0.0829346127189852
Salubrinal_111,0.0254414818805356,2.25148662086351,40.5898533265847,38.9236281842203,0.0370516819450657,0.0604729326221157
GSK269962A_127,1.97326416735802e-08,5.87283022034369,12.4406797924238,9.47280655852763,2.73050380839906e-07,0.393201491352899
Gemcitabine_135,0.000373742654681689,-3.61959004363894,0.078737700680975,0.109087328743752,0.000873653211899234,-0.470357044008491
Mitomycin.C_136,1.82951557374769e-05,-4.37914518227965,0.44009250761006,0.582198256634558,6.92198160376704e-05,-0.403703708719416
Vinorelbine_140,0.0345563571841091,-2.12651233858008,0.0182173037761766,0.0201676459065888,0.0485907397952798,-0.146733242320538
Bicalutamide_150,0.0160927746040362,2.42725010277116,13.881185732276,13.1843762437731,0.0244051581805012,0.0743014897907874
CP466722_152,0.000124862182538814,3.91382155126454,11.2250774175946,9.51014161148882,0.00034908984225434,0.239186666122731
Midostaurin_153,2.24648009499917e-05,4.36261276597568,1.09814627437905,0.897820072032058,8.32786055418884e-05,0.290571980618008
CHIR.99021_154,0.000171945409451324,3.82725933420963,24.1977457321137,21.4199821417877,0.000447545852969049,0.175915374649846
Ponatinib_155,3.27668617562942e-12,7.44176868533574,2.46066075982718,1.70224050879031,4.00847942151999e-10,0.531610884509366
AZD6482_156,4.30394016971434e-09,6.2634616947091,14.8796943326561,10.6675414393302,8.77525579047312e-08,0.480117175198948
JNK.9L_157,0.035965970555781,-2.11006768123119,0.678939672239233,0.720950564350357,0.0499981484620137,-0.0866169488469427
HG6.64.1_159,1.0851249228092e-12,7.57430213055222,2.80314653195595,2.51794971329775,1.99120423335489e-10,0.154797691058719
DMOG_165,0.00116361594076176,3.30126201496039,665.693507858908,540.890841320375,0.00238573771094729,0.299520629373605
FTI.277_166,0.00826366127837494,2.66561079001241,8.67671492328626,8.17161196781501,0.013462336952688,0.0865282308965541
Shikonin_170,0.00125108936855635,3.2798991254074,1.10599818052398,0.986720329331421,0.00252280108934166,0.164635874138519
Embelin_172,4.44528050034826e-05,4.16869308333021,16.3723931426257,15.9341147228187,0.00014802747426132,0.0391463478526027
FH535_173,2.38300060744444e-08,-5.78826996948186,6.36190739253055,7.84475060747566,3.12343293904325e-07,-0.302268211836474
IPA.3_176,0.00240166199460555,3.08550738860337,66.6610718127293,53.4522676509622,0.00438512413940417,0.318593360143528
BAY.61.3606_178,0.0215361577295735,2.31878659739023,9.36180216772494,8.23801608044904,0.0320836806309388,0.184489336223177
Thapsigargin_180,0.0163268584092167,-2.42247950385494,0.0145486287147836,0.0149037857088036,0.0246582594081586,-0.0347956581276684
Bexarotene_186,0.00279459369353023,3.02671691687738,36.6817846057984,34.0141947688766,0.00502752885061566,0.10892689316928
Phenformin_196,0.00546531480848259,2.80784610091299,2272.99457646536,1971.82536865441,0.00907588477245751,0.205062454230466
Pazopanib_199,5.47181194592822e-06,4.68821218517953,29.4550225360688,25.3349570560327,2.57455767199443e-05,0.217384273383218
Epothilone.B_201,0.000843488101317561,-3.38485412586237,0.00622961761595621,0.00755620508225141,0.00178936493169679,-0.27851824730507
Tipifarnib_204,0.00438063771658274,-2.88340396064924,4.82317948227346,5.41532104655871,0.00751258898124237,-0.167062373044545
