,p.value,statistic.W,mean_case,mean_control,p.adjust,log2FC
Camptothecin_1003,4.22465792509117e-07,4838,0.123492084336249,0.0574996397542671,9.50548033145513e-07,1.10279374766059
Vinblastine_1004,3.56214037160284e-06,4693,0.0350368721668915,0.015183663444631,6.02823755194327e-06,1.20635406794161
Cisplatin_1005,4.22465792509117e-07,4838,37.6304085221788,15.009280710299,9.50548033145513e-07,1.32604411128961
Cytarabine_1006,7.73961197508446e-07,4798,7.69320919176084,3.47533209902497,1.61309807480708e-06,1.14643469144832
Docetaxel_1007,0.00271437477266408,4132,0.012939523369249,0.00907704136075335,0.00316144826463228,0.511490439898689
Navitoclax_1011,4.84673590501306e-07,4829,8.71018707417023,4.57821228009345,1.07826259459841e-06,0.927919346271369
Vorinostat_1012,9.39590788974847e-07,4785,4.68637495506701,3.36875510193258,1.87918157794969e-06,0.476256835488932
Nilotinib_1013,2.26239416424513e-09,5153,44.0660847701578,23.1850092473812,2.63502379129727e-08,0.926476418089248
Olaparib_1017,3.17456815533335e-09,5134,87.5797290126206,50.0356221550097,3.49202497086668e-08,0.807641418789777
Axitinib_1021,3.01120660560342e-07,4860,22.7120756604886,17.8020164193743,7.54707478366427e-07,0.351418896920335
AZD7762_1022,2.53301194522076e-06,4717,1.36989158186213,0.761852431596637,4.36118578394531e-06,0.846478233207974
SB216763_1025,8.6756318590319e-12,5444,198.251597167173,119.340845973801,8.58887554044158e-10,0.73224457980557
KU.55933_1030,5.64151633133289e-07,4819,88.4748410293684,80.3149078671111,1.2274947622021e-06,0.139599462124356
Staurosporine_1034,1.48365701677574e-06,4754,0.0629916459323567,0.0345503588335823,2.69508338827152e-06,0.86645981418297
PLX.4720_1036,1.48782982043295e-07,4905,98.9853374902339,62.7259967489786,4.26942470211194e-07,0.658151346348864
NU7441_1038,2.6798340108636e-10,5269,14.3777449270043,11.7544226077761,5.89563482389992e-09,0.290633740747493
Doramapimod_1042,1.62321151901977e-08,5040,91.2509041189736,76.6023834945637,9.08042038268143e-08,0.252449570733049
Wee1.Inhibitor_1046,9.06566173028756e-08,4936,9.55859102968464,4.79559179073485,2.76154003476452e-07,0.995089116275492
Nutlin.3a...._1047,7.20172832183438e-10,5216,161.365391202532,63.5045181853482,1.18828517310267e-08,1.34540004543337
Mirin_1048,3.23235084495082e-08,4999,132.601837679541,85.7295975682488,1.39131623326144e-07,0.629235493131935
PD173074_1049,3.10584980307648e-07,4858,68.09160978662,42.8413696487285,7.59207729640917e-07,0.668472436915193
