Sender,Metabolite,Metabolite_Name,Receiver,Sensor,Commu_Score,metabolite_prop_in_sender,sensor_prop_in_receiver,Annotation,ztest_stat,ztest_pval,ttest_stat,ttest_pval,ranksum_test_stat,ranksum_test_pval,permutation_test_stat,permutation_test_pval,ztest_fdr,ttest_fdr,ranksum_test_fdr,permutation_test_fdr
Myeloid,HMDB0001852,all-trans-Retinoic acid,pDC,RARA,0.403267106,0.360333333,0.090592334,Nuclear Receptor,-129.2009463,0,-4.083651347,2.39E-05,-1.730321351,0.041786439,0,0,0,9.93E-05,0.12528449,0
Mast,HMDB0001852,all-trans-Retinoic acid,B,RARA,0.421015852,0.307890961,0.061,Nuclear Receptor,-278.7336263,0,-8.809927333,2.73E-18,-1.730321351,0.041786439,0,0,0,2.44E-17,0.12528449,0
Endo,HMDB0001852,all-trans-Retinoic acid,Endo,RARA,0.425773409,0.2078785,0.136212625,Nuclear Receptor,-178.6179218,0,-5.645572556,1.07E-08,-1.730321351,0.041786439,0,0,0,5.96E-08,0.12528449,0
Mast,HMDB0000641,L-Glutamine,T,SLC1A5,0.961899287,0.810329986,0.038166667,Transporter,-258.9996477,0,-8.186195924,4.08E-16,-1.730321351,0.041786439,0,0,0,3.36E-15,0.12528449,0
Epi,HMDB0000641,L-Glutamine,Epi,SLC1A5,0.964246182,0.5595,0.233,Transporter,-260.014631,0,-8.218276478,3.18E-16,-1.730321351,0.041786439,0,0,0,2.63E-15,0.12528449,0
Epi,HMDB0000641,L-Glutamine,Fibro,SLC1A5,1.01589082,0.5595,0.198871332,Transporter,-291.7942781,0,-9.222735053,8.37E-20,-1.730321351,0.041786439,0,0,0,7.87E-19,0.12528449,0
B,HMDB0001220,Prostaglandin E2,T,PTGER4,1.163977886,0.487666667,0.234166667,Receptor,-169.7130583,0,-5.364116741,5.05E-08,-1.730321351,0.041786439,0,0,0,2.66E-07,0.12528449,0
Oligo,HMDB0000641,L-Glutamine,T,SLC1A5,1.070195151,0.850381679,0.038166667,Transporter,-222.9049097,0,-7.045350368,1.72E-12,-1.730321351,0.041786439,0,0,0,1.19E-11,0.12528449,0
Mast,HMDB0000641,L-Glutamine,Mast,SLC1A5,2.671788238,0.810329986,0.101865136,Transporter,-1535.573533,0,-48.53483743,2.52E-265,-1.730321351,0.041786439,0,0,0,1.92E-263,0.12528449,0
Oligo,HMDB0000641,L-Glutamine,Mast,SLC1A5,2.972592719,0.850381679,0.101865136,Transporter,-1220.03142,0,-38.5615051,2.78E-200,-1.730321351,0.041786439,0,0,0,1.48E-198,0.12528449,0
Myeloid,HMDB0000641,L-Glutamine,Epi,SLC1A5,3.161133356,0.850333333,0.233,Transporter,-2531.286823,0,-80.00632456,0,-1.730321351,0.041786439,0,0,0,0,0.12528449,0
Endo,HMDB0000641,L-Glutamine,pDC,SLC1A5,1.164431589,0.38822971,0.2485482,Transporter,-180.9802611,0,-5.720238962,7.02E-09,-1.730321351,0.041786439,0,0,0,3.95E-08,0.12528449,0
Myeloid,HMDB0000641,L-Glutamine,NK,SLC1A5,1.441304867,0.850333333,0.049333333,Transporter,-789.1505028,0,-24.94266184,1.93E-107,-1.730321351,0.041786439,0,0,0,5.81E-106,0.12528449,0
B,HMDB0001085,Leukotriene B4,Fibro,PPARA,0.313836816,0.193833333,0.064334086,Nuclear Receptor,-155.6083195,0,-4.918308585,5.10E-07,-1.730321351,0.041786439,0,0,0,2.48E-06,0.12528449,0
Fibro,HMDB0001220,Prostaglandin E2,Mast,PTGER4,1.211908727,0.788036117,0.123959828,Receptor,-162.7507651,0,-5.1440597,1.62E-07,-1.730321351,0.041786439,0,0,0,8.20E-07,0.12528449,0
Oligo,HMDB0001220,Prostaglandin E2,Mast,PTGER4,2.367131297,0.93129771,0.123959828,Receptor,-808.1587755,0,-25.54345588,1.81E-111,-1.730321351,0.041786439,0,0,0,5.56E-110,0.12528449,0
Epi,HMDB0001220,Prostaglandin E2,NK,PTGER4,2.406428408,0.785666667,0.230166667,Receptor,-1425.933101,0,-45.06943483,2.96E-243,-1.730321351,0.041786439,0,0,0,2.01E-241,0.12528449,0
Fibro,HMDB0001220,Prostaglandin E2,T,PTGER4,2.41101358,0.788036117,0.234166667,Receptor,-1424.002251,0,-45.00840648,7.34E-243,-1.730321351,0.041786439,0,0,0,4.94E-241,0.12528449,0
Fibro,HMDB0001220,Prostaglandin E2,Myeloid,PTGER4,2.423713698,0.788036117,0.399666667,Receptor,-1410.45892,0,-44.58034273,4.32E-240,-1.730321351,0.041786439,0,0,0,2.85E-238,0.12528449,0
Fibro,HMDB0001220,Prostaglandin E2,NK,PTGER4,2.559818424,0.788036117,0.230166667,Receptor,-1530.548859,0,-48.37602267,2.51E-264,-1.730321351,0.041786439,0,0,0,1.91E-262,0.12528449,0
T,HMDB0001220,Prostaglandin E2,T,PTGER4,1.454663964,0.580666667,0.234166667,Receptor,-470.7713805,0,-14.87966023,1.11E-45,-1.730321351,0.041786439,0,0,0,1.73E-44,0.12528449,0
