"celltype","Metastasis","Metastatic LN","MPE","Normal LN","Normal Lung","Tumor Lung"
"B",647,5300,3021,8644,314,3977
"Endo",143,12,0,23,1296,633
"Epi",9534,2032,528,1534,2985,9531
"Fibro",587,146,3,45,1509,2140
"Mast",507,51,6,17,1046,1858
"Myeloid",5018,4622,2634,555,14904,8561
"NK",1319,2232,2509,2819,9616,5994
"Oligo",608,7,2,0,0,38
"pDC",26,50,252,207,154,172
"T",3326,3973,9333,18146,7643,14253
"Total",21715,18425,18288,31990,39467,47157
