"celltype","advanced stage","early stage"
"B",215,3762
"Endo",17,616
"Epi",4578,4953
"Fibro",355,1785
"Mast",94,1764
"Myeloid",1010,7551
"NK",841,5153
"Oligo",4,34
"pDC",16,156
"T",1251,13002
"Total",8381,38776
