CellType,Marker,Reference,doi,Note
LGR5_plus_Stem_Cells,SOX9,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
LGR5_plus_Stem_Cells,OLFM4,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
LGR5_plus_Stem_Cells,CA2,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
LGR5_plus_Stem_Cells,LEFTY1,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Secretory_Progenitor,DLL1,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Secretory_Progenitor,SPINK4,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Secretory_Progenitor,STAB1,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Goblet_Progenitor,TFF3,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Goblet_Progenitor,ZG16,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Goblet_Progenitor,SPDEF,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Goblet_Progenitor,CHGA,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Goblet_Progenitor,FOXA3,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Goblet_Cell,CDH1,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Goblet_Cell,REG4,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Goblet_Cell,ZG16,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Enteroendocrine,PYY,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Enteroendocrine,ANKED20A9P,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Enteroendocrine,FRAS1,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Enterocyte_Cell,AQP8,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Enterocyte_Cell,SI,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Enterocyte_Cell,LAD1,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Paneth-Like_Cell,LYZ,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Paneth-Like_Cell,PLA2G7,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
Paneth-Like_Cell,SRGN,Shuai_Gao_2018,doi.org/10.1038/s41556-018-0105-4,NA
hypoxiacell,HIF1A,jimmy,,NA
hypoxiacell,SLC2A1,jimmy,,NA
hypoxiacell,VEGFA,jimmy,,NA
hypoxiacell,HMOX1,jimmy,,NA
hypoxiacell,BNIP3,jimmy,,NA
hypoxiacell,NOS2,jimmy,,NA
hypoxiacell,MMP2,jimmy,,NA
hypoxiacell,SOD3,jimmy,,NA
hypoxiacell,CITED2,jimmy,,NA
hypoxiacell,LDHA,jimmy,,NA

