B	CD4+ T	CD8+ T1	CD8+ T2	CD8+ T3	DNAJB1+PTGDR+ NK	Endo	Epi	Fibro	KLRC2+PTGDR+ NK	Mast	Myeloid	Oligo	pDC	PTGDR- NK	PTGDR+ NK1	PTGDR+ NK2	PTGDS+PTGDR+ NK
GSM748053	-0.261333168590984	-0.32615590300005	-0.0383031207109421	-0.329471695247178	-0.438387724881524	-0.255565153318459	0.18724632188743	-0.295680939119292	0.139397110508224	-0.319747782287321	-0.032595792184564	-0.0135729392241552	-0.482185115027463	-0.363074232661392	0.0380870475393278	-0.186364807391223	-0.16320754289956	-0.322790034493132
GSM748054	-0.213711580760927	-0.278742561261625	-0.149844131468876	-0.403005298235346	-0.516290684061847	-0.330937265338873	0.204662464097607	-0.418180954724964	0.130262858475624	-0.276764803742985	-0.0642747537163117	-0.0378669421870642	-0.4744995322037	-0.306717803250009	-0.00771682188701836	-0.290719932065833	-0.0734667994449408	-0.341619250835373
GSM748055	-0.294687740392564	-0.221146937219973	-0.0913597552102915	-0.379909733464183	-0.475565302913355	-0.2991911777396	0.00708122050534875	-0.260138750664597	0.10127566573338	-0.260013093875184	-0.106661736601539	-0.0801517768488165	-0.450064084356793	-0.316895674708652	-0.00495149993215959	-0.262483959182826	-0.0849464508708985	-0.338896284609326
GSM748057	-0.0741634239336289	-0.342383538666034	-0.124306082747271	-0.314355344971357	-0.397650453764576	-0.185144698694916	0.133713062322718	-0.250319902882301	-0.0486007316846724	-0.19679352956277	-0.124073274439484	-0.278091663874499	-0.323279473564414	-0.248174416257163	0.114746174448067	-0.171503813193896	-0.146751412680597	-0.24852665903754
GSM748058	-0.299812102712969	-0.266560267719557	-0.0368334980580648	-0.319716102085341	-0.488467815066019	-0.281173048665938	0.233044228484502	-0.315433803967908	0.120741463042097	-0.273429346970769	0.0254836544360283	0.0437868103528334	-0.459020484455257	-0.383993881348744	0.0157577735723674	-0.206788402135555	-0.11065728636454	-0.298868062257445
GSM748064	0.0310872256728724	-0.274436010461455	0.00391539783300865	-0.283095289061608	-0.489349594329086	-0.250222352057309	0.114535823839502	-0.339970495191359	0.112495509371671	-0.213923721561833	0.0383573043078129	-0.0727103136054592	-0.44961632916752	-0.344594708577299	0.164817871722428	-0.212863139786284	-0.107941515233613	-0.283980316805437
GSM748068	0.0469214592460109	-0.215499524508587	0.0988435437409611	-0.22467799104561	-0.372956530586399	-0.216156270441606	0.0117760847974692	-0.256320719049249	0.0834890774268139	-0.170968606613004	-0.153225851459628	0.0983965017822816	-0.45423548640256	-0.235345289571249	0.301569924132307	-0.107689778536261	-0.095633771186552	-0.269037242373597
GSM748071	-0.119821268977363	-0.223569916738351	0.0409180923000522	-0.306114775328761	-0.485053970285933	-0.285894422284785	0.310427540876644	-0.471862424122651	0.194519999809985	-0.194832170432515	0.00140738017336155	0.0252690482799926	-0.473896095316538	-0.348553902640045	0.123353504352122	-0.165097612447276	-0.138913902569182	-0.210805324909906
GSM748075	-0.173728679128136	-0.240373773240487	0.148104444107326	-0.238726791302484	-0.45768978583545	-0.208369077202372	0.0848941624262692	-0.392404363002354	0.119755938920911	-0.196870187434946	-0.164028994549361	0.192547207043862	-0.434992198843449	-0.305301688115056	0.224510826880858	-0.120698899043346	0.0214195308094554	-0.285688677584854
GSM748077	-0.0698703932307955	-0.248614372507159	-0.0801149398759251	-0.319602739523546	-0.494972566007852	-0.23325450052843	0.234712479889106	-0.0811224672572984	0.178910900885954	-0.203289527102766	-0.132674602339734	-0.0158948159299543	-0.453791690486941	-0.263002907941076	0.0695103436232957	-0.209691277035618	-0.115330996550831	-0.288299715847739
GSM748078	0.0615417679536129	-0.145437139778244	0.0586575342923932	-0.179132726722795	-0.48136496550922	-0.247075587641948	0.195811843659244	-0.235194482026721	0.0976189546545304	-0.278935288015665	0.0668672043050583	-0.0165549333172723	-0.482415327150387	-0.365278743321353	0.238309733100751	-0.127535411486903	-0.0798382824210682	-0.254157321173395
GSM748079	0.130834683786015	-0.188040831953893	0.260072417861394	-0.138789454830067	-0.485519511714121	-0.158430463770834	0.210652522811734	-0.368847859516827	0.207311774204846	-0.0888216967734209	0.0296610181641525	0.281117137822057	-0.448807704596561	-0.272536940163243	0.374104830651927	-0.0625795969384673	-0.0320010236092155	-0.298484014391646
GSM748080	-0.193859338072953	-0.263187662109715	0.118276503192426	-0.2592941127778	-0.493349436491166	-0.192873353896316	0.152729003908016	-0.291484902540633	0.130491612451041	-0.177044637422434	-0.136550095589901	0.0199461853071005	-0.468822455227435	-0.236382486726603	0.248998211859258	-0.158282267273037	-0.0934572421664752	-0.253728258642654
GSM748081	-0.21280079532999	-0.27930346585856	-0.20620643969074	-0.320926402338191	-0.506280726706916	-0.239536705006747	-0.108964357495398	-0.340001005986514	-0.0480362551869506	-0.24378973471586	-0.222636872998588	-0.270071562272451	-0.400738869599539	-0.247511729903991	-0.0371804812337775	-0.290985700383011	-0.199804920039912	-0.249808752327391
GSM748083	-0.183462613441916	-0.247195640956129	-0.0232563806621253	-0.277837103110612	-0.479241904843354	-0.245199254293052	0.275137114127461	-0.494670002424734	0.122907223905686	-0.2263772648286	-0.167785531132025	-0.0638223126716247	-0.474729186295083	-0.286973249243815	0.0806834427376007	-0.193883082431138	-0.196590864849799	-0.27207240876433
GSM748085	-0.134034271111658	-0.275442184782614	-0.174204516394196	-0.321867200887645	-0.479526177337719	-0.269424317583655	0.178639640761848	-0.384673014523238	0.0995930146181813	-0.271890535021795	-0.114589443008871	-0.116737816621001	-0.429186228532696	-0.307307043281411	-0.00451463575323331	-0.329625149631635	-0.188010601590527	-0.322993913000592
GSM748086	-0.155115584254439	-0.306466915615939	-0.0965855014731115	-0.286893443752399	-0.461453272116232	-0.217614162181896	0.165763203539112	-0.28580802576349	0.0544998270120892	-0.267065828063356	-0.040252906446319	-0.0816390137155553	-0.427572753903234	-0.373896615370755	0.0650170902109221	-0.174637940402897	-0.0973312336734085	-0.330935814086672
GSM748087	-0.261651836969898	-0.233840366796016	-0.0504138224132196	-0.28485547420397	-0.478312427683412	-0.314869910786205	0.121909847407813	-0.416958882536429	0.0248634152000202	-0.303518936728685	0.0696075215425078	0.0312183650818353	-0.426588404645604	-0.378657994663759	0.000368152179268531	-0.244241941374545	-0.162179787415307	-0.296418695257526
GSM748089	0.223580586553478	-0.0566108751421687	0.321137390676097	-0.0798142784021351	-0.474469864681395	-0.0814305684255997	0.117505912472905	-0.37395575942763	0.162338011851256	0.0434980014030838	-0.0747136029017434	0.143094261354749	-0.439693024147763	-0.266785034002021	0.457979716415494	0.0547519005274069	0.0795783789478713	-0.210488445127802
GSM748090	0.0951259362617091	-0.29647448044788	0.0410007039249249	-0.332254700935549	-0.48436307861089	-0.288813579906721	0.211331914449895	-0.36506794097741	0.0390998517982901	-0.300038532500017	-0.0690860914376623	-0.0703210635502315	-0.457072460803621	-0.289827071993379	0.144376516428791	-0.175661104860872	-0.134483428171445	-0.270170838417103
GSM748091	-0.257430874752969	-0.277305764424195	-0.0493064902291899	-0.281947185664584	-0.428869986181979	-0.214540486109738	-0.0255020247025891	-0.173374387954112	0.00724402607601402	-0.196725586989032	-0.245633418506798	0.0188733384052691	-0.432856057877691	-0.282060925407482	0.0919724526325729	-0.302231285164866	-0.168256481774836	-0.230327661846555
GSM748092	-0.00916268494245254	-0.24201549702213	0.0539439531344382	-0.256675462481392	-0.475812300366799	-0.216822787015667	-0.00674833873657992	-0.435167668191043	0.0202115220994823	-0.225385888968939	-0.157505248238268	0.0433389198400252	-0.442707453681403	-0.224547656954033	0.20043002098965	-0.114319851483808	-0.0714211281048259	-0.221395392206136
GSM748094	-0.333626503580136	-0.316997059664077	-0.036897441962274	-0.327508592477857	-0.523022022317252	-0.248899494410106	0.108578972616584	-0.360387754214146	-0.013197261892733	-0.27471355887155	-0.0252082766309103	0.128277670077494	-0.445945006408533	-0.340006190365792	0.0618932313225833	-0.172068268401491	-0.144913760280059	-0.288045725529406
GSM748100	0.0562434910328694	-0.218354518781718	0.0727128933213542	-0.262620961859109	-0.422253079914028	-0.215714919129733	-0.0813390518771405	-0.347879952366477	-0.0815429587799404	-0.165281145627561	-0.288046732341673	-0.0314029586162121	-0.414663674750741	-0.342038105488776	0.223363109003879	-0.152854955947557	-0.109065827717516	-0.325508402977296
GSM748101	0.118848007198823	-0.16006232777778	0.159533875485127	-0.150337808400885	-0.482727994553485	-0.230398453000362	0.174808203096306	-0.364504943141225	0.201238096697725	-0.215710730792989	0.0359718792227079	0.0957461920288858	-0.4564043503659	-0.312008214873456	0.235798530816078	-0.10017329823058	0.0262804606289995	-0.278432254792713
GSM748102	0.198059869860469	-0.210161726426065	0.203103606920604	-0.140650405402585	-0.45091428807037	-0.164172343164202	0.0829052588046862	-0.305330854480102	0.142392619767428	-0.0940736635772152	-0.16612753543702	0.0048048143330033	-0.448127372433646	-0.262582586189583	0.37813721329084	-0.0280368610144921	0.0167080533280404	-0.239044468057376
GSM748103	-0.0761560569791981	-0.280493977964542	0.0205735658884506	-0.232299493615368	-0.496523284314769	-0.248269771103153	0.259280106900946	-0.337051051161171	0.222143779172385	-0.17103980154475	0.0142813481104674	0.0787301374451845	-0.470256686124418	-0.355522918128607	0.171629594048415	-0.127768407789931	-0.117885299938133	-0.269205299685579
GSM748104	-0.18883959604411	-0.200935690671659	-0.0717749052029983	-0.290829029251817	-0.480252715388554	-0.218313516267239	0.191064683296309	-0.235053313988999	0.129764986962382	-0.30326360667885	-0.00718437200205262	0.0275316074749911	-0.46831420531668	-0.372037199855377	0.0711869644333328	-0.220342450958092	-0.168375131321682	-0.267814028263236
GSM748108	0.193856039335137	-0.139536437665886	0.151514098153614	-0.169396853828317	-0.487895559014215	-0.177092394731943	0.171857062329759	-0.417161387755348	0.0836747462750591	0.0871281320524583	-0.0775234109107934	0.221265891847484	-0.474184127194184	-0.294029879121839	0.336871864408105	-0.0526786210349503	0.0494715872652552	-0.134894768863547
GSM748111	-0.257278095510544	-0.247678748638525	0.110131163911383	-0.244781014688121	-0.481342249115764	-0.178488450814698	0.172696742389978	-0.427158102484535	0.149966817155816	-0.138926473585383	-0.032773731011021	0.0590980641548027	-0.44147509370563	-0.32380709185278	0.241702726766853	-0.0988229976696742	-0.0792820630841785	-0.2751441384055
GSM748113	-0.276026734241566	-0.226645248948922	-0.259230704739298	-0.371097055909831	-0.451180991280247	-0.253003930650164	-0.116531373982306	-0.478586282319528	0.0107868555425128	-0.219844718574789	-0.28321733662909	-0.228533534969227	-0.425414387899327	-0.280322357881272	-0.0986072463357315	-0.304092031561377	-0.153038291200033	-0.251755926924948
