"Var1","Var2","Correlation","P_value","Significance"
"PDL1","HOT_score",0.5285880992294,0,"***"
"HPGDS","HOT_score",-0.0310605174587086,0.642071851119104,"ns"
"PTGDS","HOT_score",0.346284615284654,1.10932532420492e-07,"***"
"PTGDR","HOT_score",0.402541291437631,4.61087416036966e-10,"***"
"SLCO2A1","HOT_score",0.015244110041194,0.819580679802587,"ns"
"HOT_score","PDL1",0.5285880992294,0,"***"
"HPGDS","PDL1",-0.0776344002183151,0.244875793729115,"ns"
"PTGDS","PDL1",0.0185604199966213,0.781234237206741,"ns"
"PTGDR","PDL1",0.230838563798682,0.000483462843813621,"***"
"SLCO2A1","PDL1",0.0909453822463062,0.172928180857724,"ns"
"HOT_score","HPGDS",-0.0310605174587086,0.642071851119104,"ns"
"PDL1","HPGDS",-0.0776344002183151,0.244875793729115,"ns"
"PTGDS","HPGDS",0.390712772731407,1.60174489309798e-09,"***"
"PTGDR","HPGDS",0.0755739217444414,0.2576538638429,"ns"
"SLCO2A1","HPGDS",0.0820225332345717,0.219154259397268,"ns"
"HOT_score","PTGDS",0.346284615284654,1.10932532420492e-07,"***"
"PDL1","PTGDS",0.0185604199966213,0.781234237206741,"ns"
"HPGDS","PTGDS",0.390712772731407,1.60174489309798e-09,"***"
"PTGDR","PTGDS",0.394819175340792,1.04629013354576e-09,"***"
"SLCO2A1","PTGDS",0.160896651202682,0.0155504370666811,"*"
"HOT_score","PTGDR",0.402541291437631,4.61087416036966e-10,"***"
"PDL1","PTGDR",0.230838563798682,0.000483462843813621,"***"
"HPGDS","PTGDR",0.0755739217444414,0.2576538638429,"ns"
"PTGDS","PTGDR",0.394819175340792,1.04629013354576e-09,"***"
"SLCO2A1","PTGDR",0.087988772367549,0.187364504705581,"ns"
"HOT_score","SLCO2A1",0.015244110041194,0.819580679802587,"ns"
"PDL1","SLCO2A1",0.0909453822463062,0.172928180857724,"ns"
"HPGDS","SLCO2A1",0.0820225332345717,0.219154259397268,"ns"
"PTGDS","SLCO2A1",0.160896651202682,0.0155504370666811,"*"
"PTGDR","SLCO2A1",0.087988772367549,0.187364504705581,"ns"
