HOT_score	Phenotype	PDL1	HPGDS	PTGDS	PTGDR	SLCO2A1
TCGA-44-4112_T_LUAD	-0.454533801655586	Cold	7.2454	6.0706	0.3702	0.7169	47.3874
TCGA-71-6725_T_LUAD	-0.853456237566637	Cold	2.5279	0.7486	0.333	0.0296	27.1503
TCGA-44-2656_T_LUAD	0.373078450871486	Hot	49.8626	9.2138	0.6316	1.1965	4.1709
TCGA-05-5715_T_LUAD	-0.465528007001763	Cold	3.2636	8.0223	0.954	0.2701	50.6709
TCGA-64-5815_T_LUAD	-0.0562640694602171	Cold	9.2596	12.0127	1.201	0.4198	108.384
TCGA-55-7816_T_LUAD	0.480438073069454	Hot	13.4896	5.1315	1.4546	3.0404	48.2537
TCGA-95-7948_T_LUAD	-0.770258216426367	Cold	1.2955	3.1916	0.6681	0.13	7.0676
TCGA-05-4432_T_LUAD	0.324173305730791	Hot	6.2927	0.9812	1.2337	0.4574	46.7069
TCGA-99-8033_T_LUAD	0.0837334324042634	Hot	16.7628	0.6715	0.8599	0.8251	12.3342
TCGA-78-7143_T_LUAD	-0.565407373102674	Cold	10.2817	3.46	1.4637	0.3386	13.7045
TCGA-73-4668_T_LUAD	-0.76084410838905	Cold	4.539	2.4553	0.4095	0.2208	59.621
TCGA-44-5644_T_LUAD	-0.755150610968246	Cold	1.3981	0.2345	0.2921	0.13	12.3613
TCGA-38-4625_T_LUAD	0.237894917171252	Hot	101.1432	3.0479	1.6871	0.3635	44.8499
TCGA-91-8499_T_LUAD	0.102793239832458	Hot	5.7109	0.7753	1.4082	0.9308	9.854
TCGA-86-6851_T_LUAD	0.792154127135991	Hot	13.0547	1.5191	5.9374	2.2945	34.0284
TCGA-44-6779_T_LUAD	0.76390294496069	Hot	17.3592	5.4024	0.3547	1.9835	14.0699
TCGA-78-7537_T_LUAD	-0.612022819720077	Cold	1.6183	3.5353	1.4708	0.2533	24.6452
TCGA-05-4434_T_LUAD	0.688358646599437	Hot	29.0544	4.278	4.9031	0.9682	116.3781
