"celltype","I","II","III","IV"
"B",3388,91,283,215
"Endo",437,24,155,17
"Epi",3759,164,1030,4578
"Fibro",1056,18,711,355
"Mast",1448,52,264,94
"Myeloid",5118,1263,1170,1010
"NK",2718,759,1676,841
"Oligo",19,0,15,4
"pDC",91,20,45,16
"T",8965,1104,2933,1251
"Total",26999,3495,8282,8381
