SLCO2A1	PTGDR	PTGDS	HPGDS
GSM748053	8.158352	3.57456873333333	9.69987166666667	7.502448
GSM748054	8.8420925	3.48608883333333	9.42705383333333	6.2910256
GSM748055	8.219795	3.4628215	8.55453866666667	6.101119
GSM748057	6.8192267	3.57938813333333	8.719229	5.085161
GSM748058	7.719277	3.59426026666667	10.6206708333333	7.446636
GSM748064	6.6077895	3.22227976666667	9.537707	7.5732374
GSM748068	7.6197743	3.5390842	9.1158221	5.076155
GSM748071	8.642052	3.33919893333333	10.2605336666667	7.0836835
GSM748075	8.610865	3.74091576666667	9.0967222	7.4541283
GSM748077	7.6398153	3.43872863333333	9.5775835	5.445352
GSM748078	7.11003	3.4634517	10.4532086666667	7.5751457
GSM748079	7.372176	3.81950423333333	10.4162036666667	6.7960515
GSM748080	7.485207	3.60305643333333	9.14549566666667	6.107961
GSM748081	7.32135	3.4699849	7.92288166666667	4.334032
GSM748083	7.0975285	3.52640263333333	9.03238513333333	6.334227
GSM748085	7.390781	3.629722	8.53807666666667	6.128135
GSM748086	7.116854	3.51154843333333	8.48395433333333	6.1545463
GSM748087	7.4284787	3.70869746666667	10.132554	7.8508916
GSM748089	6.9791727	3.94990333333333	10.9642393333333	5.9880543
GSM748090	7.4052787	3.52003773333333	8.8858355	5.9052534
GSM748091	8.526942	3.5096265	8.0894912	4.853444
GSM748092	6.5380635	3.59246196666667	9.32169133333333	4.5341487
GSM748094	6.4124556	3.50223033333333	8.19333933333333	7.868064
GSM748100	6.2597084	3.46877793333333	8.69134153333333	5.342916
GSM748101	6.9812665	3.95171926666667	11.3721723333333	7.9206676
GSM748102	6.7690597	3.6594261	10.030659	4.690802
GSM748103	7.8276973	3.7886143	11.0170503333333	7.1990767
GSM748104	7.2582045	3.47091013333333	9.686894	7.2431307
GSM748108	7.944054	3.84874123333333	9.99195233333333	6.9121037
GSM748111	6.8033824	3.5834282	9.60596133333333	6.8852386
GSM748113	8.075896	3.45087343333333	6.92595946666667	3.6908908
GSM748116	9.319733	3.446761	8.9486588	5.0492496
GSM748121	6.8515854	3.6527035	10.0870286666667	6.4264965
GSM748122	6.837101	3.8444543	9.40616133333333	5.305236
GSM748123	8.229325	3.65341476666667	10.6976246666667	5.4749956
GSM748124	7.1863365	3.5716397	9.12406233333333	4.4493084
GSM748125	7.835302	3.57165163333333	10.6888873333333	6.343596
GSM748126	7.564458	3.6167402	8.90017266666667	5.809554
GSM748127	6.6127434	3.75856743333333	9.787408	5.1303205
GSM748128	8.197248	3.69459803333333	9.490162	5.3283005
GSM748130	7.6361203	3.49047323333333	9.21841923333333	6.5992036
GSM748131	7.751586	3.69949516666667	10.2253748333333	6.4035234
GSM748134	6.8026066	4.046766	11.2277906666667	8.544561
GSM748135	7.1276	3.43066843333333	8.64744266666667	5.6680927
GSM748137	7.86227	3.5437759	10.096549	5.7707148
GSM748138	8.685739	3.52514393333333	8.407824	4.612798
GSM748139	8.285427	3.70035663333333	8.98170533333333	4.8510275
GSM748140	7.061089	3.56138966666667	7.5149499	4.295911
GSM748142	8.216878	3.50460753333333	10.6596633333333	7.239336
GSM748143	6.92891	3.5570576	8.73496266666667	8.888231
GSM748146	8.204282	3.63748503333333	9.6745325	6.058808
GSM748147	7.4294777	3.3332839	10.006541	5.8399167
GSM748150	8.233873	3.56621223333333	10.499969	6.395439
GSM748152	7.461678	3.832481	9.94487333333333	6.4367547
GSM748157	7.67282	3.61560093333333	8.73315543333333	5.8353295
GSM748161	8.606348	3.71799796666667	9.85152933333333	6.3014593
GSM748162	6.2532625	3.40818806666667	9.4371666	6.4302564
GSM748164	8.073171	3.57260926666667	9.91311666666667	7.824983
GSM748166	7.016602	3.7453829	9.928576	6.2098236
GSM748167	7.743611	3.61086936666667	10.646685	6.766273
GSM748169	8.388304	3.4528973	10.13355	6.4967837
GSM748170	6.7344265	3.70145046666667	9.6017065	5.3336554
GSM748171	8.427939	3.55979966666667	10.1612503333333	7.992215
GSM748173	6.9210687	3.66296473333333	9.860055	7.3765306
GSM748175	9.190108	4.58552313333333	9.1517772	6.270089
GSM748178	7.1227283	3.4456184	9.27162666666667	7.66996
GSM748179	9.040084	3.43857693333333	6.8552255	4.8937216
GSM748180	7.1663656	3.40516413333333	10.34402	6.417878
GSM748181	8.141417	3.5213861	10.4861863333333	6.899508
GSM748185	7.050493	3.7047569	6.61868983333333	3.7481713
GSM748186	6.927624	3.75172483333333	9.5622078	4.7998095
GSM748187	8.208644	3.78979173333333	10.417581	8.557033
GSM748188	7.5437326	3.54805493333333	8.93624756666667	5.0295715
GSM748189	6.8031883	3.77907063333333	10.643069	4.8080378
GSM748239	6.167329	3.4820425	8.5506388	4.6483
GSM748240	7.281283	3.5402357	7.47294466666667	4.7884316
GSM748242	9.334597	3.50713966666667	9.727812	5.2155485
GSM748243	7.8826118	3.5879751	9.12945986666667	5.038188
GSM748264	7.918022	3.3104136	9.37828276666667	8.039274
GSM748271	5.2036448	3.4174951	7.8166361	4.398315
GSM748276	6.287893	3.5165462	9.60078	6.4438815
GSM748277	6.440592	3.53396696666667	7.9409345	4.426114
GSM748278	7.503183	3.7375172	9.92121133333333	5.0635858
GSM748279	7.98147	3.41851696666667	8.3761253	4.2934885
GSM1465989	8.148881	3.56995713333333	8.36311	7.812723
