SLCO2A1	PTGDR	PTGDS	HPGDS
TCGA-95-A4VK_T_LUAD	17.646	1.2399	2.9293	0.9865
TCGA-95-8494_T_LUAD	65.7185	0.2557	0.3285	9.6526
TCGA-75-7027_T_LUAD	17.1123	0.8907	0.3813	0.6736
TCGA-64-5779_T_LUAD	58.1778	1.7617	1.2748	0.2788
TCGA-49-4505_T_LUAD	14.9088	0.321	1.8998	15.6793
TCGA-55-1592_T_LUAD	49.4685	0.4578	2.4817	4.2575
TCGA-05-4397_T_LUAD	13.4576	0.1035	2.5584	1.7596
TCGA-44-2665_T_LUAD	54.9498	0.5432	2.7839	11.0116
TCGA-55-A48Z_T_LUAD	36.5877	0.9707	3.5745	3.131
TCGA-86-8359_T_LUAD	26.6571	0.5514	0.2936	1.0057
TCGA-97-8547_T_LUAD	54.3527	0.666	0.6653	6.0367
TCGA-75-6212_T_LUAD	66.1185	0.2021	1.4763	24.3646
TCGA-44-3396_T_LUAD	37.6145	1.2809	3.2416	2.2521
TCGA-86-8281_T_LUAD	40.8345	0.5677	3.594	1.4207
TCGA-44-6775_T_LUAD	42.4376	0.7537	0.8471	13.6487
TCGA-62-8397_T_LUAD	10.7201	0.0835	0.3284	7.6541
TCGA-J2-A4AG_T_LUAD	50.1851	1.1656	2.9303	5.4919
TCGA-78-7152_T_LUAD	24.1014	0.3793	1.652	2.1908
TCGA-93-7348_T_LUAD	71.3879	0.6029	1.4908	2.751
TCGA-64-5775_T_LUAD	11.4645	0.057	0.1281	6.087
TCGA-78-7153_T_LUAD	14.0183	0.2656	0.2296	2.2127
TCGA-78-7149_T_LUAD	77.7605	0.4288	1.2621	1.5625
TCGA-MP-A4T8_T_LUAD	49.872	0.5361	1.0604	0.5264
TCGA-44-2661_T_LUAD	21.02	1.3593	4.7104	23.5514
TCGA-73-4658_T_LUAD	64.1445	0.3723	1.6735	14.4708
TCGA-44-6778_T_LUAD	85.2944	1.7743	4.332	4.682
TCGA-44-7670_T_LUAD	132.5024	0.1894	0.6599	0.9298
TCGA-55-8205_T_LUAD	18.5077	2.1262	1.8415	2.8727
TCGA-55-8512_T_LUAD	28.2215	0.9804	2.2617	2.2723
TCGA-55-8203_T_LUAD	41.4712	0.532	1.3452	1.3965
TCGA-78-8660_T_LUAD	36.5179	1.1973	4.7568	1.9298
TCGA-44-A47B_T_LUAD	94.8152	1.9768	1.1963	8.7823
TCGA-50-5946_T_LUAD	169.7346	0.2428	0.4873	0.8765
TCGA-38-4631_T_LUAD	2.2051	0.2028	0.7165	0.1255
TCGA-64-5778_T_LUAD	16.4823	0.3753	9.0799	0.8605
TCGA-86-7954_T_LUAD	31.6496	1.4936	1.7751	4.0652
TCGA-55-6543_T_LUAD	22.7184	0.3466	0.909	6.7146
TCGA-73-7499_T_LUAD	15.0794	0.8987	3.9357	4.4521
TCGA-44-3918_T_LUAD	27.887	1.4028	1.8288	4.4356
TCGA-62-8399_T_LUAD	69.4185	0.4874	3.2367	3.5504
TCGA-49-AAR0_T_LUAD	21.6762	0.3486	6.6377	5.685
TCGA-55-7283_T_LUAD	29.1295	0.539	2.1204	4.8643
TCGA-50-6593_T_LUAD	24.2725	0.199	1.2301	18.5807
TCGA-50-8459_T_LUAD	60.7539	1.1198	1.1075	16.9122
TCGA-67-3774_T_LUAD	45.8126	0.6388	2.937	4.5278
TCGA-49-AAQV_T_LUAD	24.3005	0.4289	2.2817	2.2295
TCGA-38-4626_T_LUAD	70.1043	0.3859	4.3366	3.5439
TCGA-95-7562_T_LUAD	47.503	0.2385	0.4596	2.6321
TCGA-69-7760_T_LUAD	68.0419	0.0634	0.0238	1.4651
TCGA-71-8520_T_LUAD	204.1853	0.8975	0.6578	5.7467
TCGA-55-8614_T_LUAD	100.6311	0.1968	1.4007	2.4151
TCGA-55-7574_T_LUAD	104.4312	3.2875	9.5244	2.0569
TCGA-50-5935_T_LUAD	54.2338	0.6035	3.8434	3.679
TCGA-95-7043_T_LUAD	17.3058	0.1928	0.3972	0.0928
TCGA-97-7941_T_LUAD	33.6899	0.3779	5.2814	6.3105
TCGA-44-7660_T_LUAD	6.616	0.3623	0.892	1.2207
TCGA-MP-A4T7_T_LUAD	12.8035	0.9661	1.9002	1.6565
TCGA-55-6971_T_LUAD	18.243	1.1147	1.8423	1.9881
TCGA-78-7155_T_LUAD	36.0673	0.0764	0.4294	0.4965
TCGA-MP-A4TE_T_LUAD	7.4116	0.1221	0.1764	0.1007
TCGA-95-A4VN_T_LUAD	82.7764	0.8415	1.2347	4.1848
TCGA-93-8067_T_LUAD	28.0709	0.4237	1.0001	0.9381
TCGA-J2-8194_T_LUAD	63.8829	0.5805	0.6524	4.0754
TCGA-55-8510_T_LUAD	18.7671	1.2515	2.7269	7.6335
TCGA-44-5643_T_LUAD	11.0546	0.2371	1.9033	0.5379
TCGA-86-7713_T_LUAD	72.7979	0.1346	0.6618	0.2672
TCGA-NJ-A55R_T_LUAD	9.2515	0.3834	3.0358	1.5474
TCGA-50-5044_T_LUAD	36.1688	0.2637	0.5926	2.3793
TCGA-64-5774_T_LUAD	21.4741	0.4021	0.1861	0.3757
TCGA-55-6712_T_LUAD	26.7555	1.0143	2.7444	5.5869
TCGA-44-2659_T_LUAD	24.3759	6.1504	2.6058	4.1935
TCGA-4B-A93V_T_LUAD	4.3208	0.2748	1.3214	0.1764
TCGA-86-8076_T_LUAD	24.1341	1.1359	3.15	4.0042
TCGA-83-5908_T_LUAD	35.2995	2.062	2.4492	2.03
TCGA-44-A4SS_T_LUAD	9.4181	1.9404	2.0506	1.5054
TCGA-L4-A4E5_T_LUAD	42.1032	0.3943	0.7977	0.8825
TCGA-97-8171_T_LUAD	11.0562	0.037	0.111	1.9435
TCGA-93-A4JP_T_LUAD	67.8922	0.3698	8.3121	11.9349
TCGA-S2-AA1A_T_LUAD	26.3578	2.074	6.2554	4.2168
TCGA-55-6978_T_LUAD	126.0226	2.2999	1.6766	3.8891
TCGA-78-7146_T_LUAD	5.0892	0.1978	0.4445	2.4883
TCGA-MP-A4TD_T_LUAD	39.8831	2.2393	11.3255	3.5566
TCGA-50-5930_T_LUAD	9.3834	0.3935	2.5552	0.1894
TCGA-64-5781_T_LUAD	2.7786	0.6934	1.7317	1.3348
TCGA-78-7159_T_LUAD	17.1058	0.5002	0.4644	1.4759
TCGA-69-8254_T_LUAD	21.4832	0.6278	2.2405	4.6913
TCGA-50-7109_T_LUAD	30.878	0.6178	1.9287	0.5947
TCGA-05-5428_T_LUAD	0.9505	0.1631	0.4767	10.7418
TCGA-49-4512_T_LUAD	32.1768	0.18	1.8206	12.9195
TCGA-NJ-A4YP_T_LUAD	20.1232	1.5912	0.2626	1.7512
TCGA-49-AAR2_T_LUAD	6.1617	0.1316	1.4294	1.2031
TCGA-50-5045_T_LUAD	42.2823	0.7956	1.7533	18.2452
TCGA-44-8119_T_LUAD	33.4477	0.8048	0.4797	1.9895
TCGA-44-8117_T_LUAD	18.3264	0.8323	1.2473	2.0252
TCGA-05-4425_T_LUAD	102.0966	0.4325	0.7852	7.8779
TCGA-55-1596_T_LUAD	15.7487	0.1888	1.6265	1.6808
TCGA-91-6836_T_LUAD	8.0583	0.22	0.1236	1.707
TCGA-49-4488_T_LUAD	8.2204	0.299	0.84	4.1009
TCGA-99-8032_T_LUAD	29.347	0.3566	1.5389	2.08
TCGA-49-6743_T_LUAD	34.7807	0.5645	0.9684	1.5444
TCGA-44-7662_T_LUAD	38.9003	2.6875	0.8372	3.1422
TCGA-44-2655_T_LUAD	23.2677	0.5317	4.2389	4.8922
TCGA-86-8673_T_LUAD	14.0378	0.8509	0.5081	0.2688
TCGA-MP-A4TF_T_LUAD	12.2062	0.4934	0.6398	0.8768
TCGA-67-6215_T_LUAD	77.8185	0.2028	0.263	6.3533
TCGA-55-7911_T_LUAD	67.302	0.4025	0.6936	1.2398
TCGA-75-6214_T_LUAD	1.9368	0.0266	0.1644	0.6528
TCGA-05-4244_T_LUAD	58.5236	0.5398	1.1087	5.0523
TCGA-73-4677_T_LUAD	25.8038	0.1014	1.2822	3.3678
TCGA-97-7554_T_LUAD	10.8924	0.6965	1.2612	3.5477
TCGA-05-4426_T_LUAD	87.1384	0.3662	0.5598	4.0186
TCGA-97-8176_T_LUAD	39.3138	0.5343	1.4344	0.9
TCGA-05-4382_T_LUAD	58.4639	1.1805	1.9498	3.1126
TCGA-J2-A4AE_T_LUAD	20.1773	0.659	3.4918	5.1316
TCGA-73-4670_T_LUAD	8.8584	0.3046	0.3686	0.2706
TCGA-55-8506_T_LUAD	11.1388	0.5751	0.4422	4.6327
TCGA-50-6597_T_LUAD	18.9409	0.3124	5.4764	5.2767
TCGA-44-3398_T_LUAD	34.2336	0.8851	4.0174	27.0836
TCGA-50-6594_T_LUAD	60.6352	0.1572	0.3974	7.091
TCGA-73-A9RS_T_LUAD	10.6852	0.2689	0.403	1.2296
TCGA-53-7626_T_LUAD	63.6186	1.1258	5.5167	12.7441
TCGA-55-8505_T_LUAD	11.2884	1.1868	0.7002	0.9853
TCGA-97-A4M5_T_LUAD	71.0127	2.1572	7.1581	6.3779
TCGA-75-5125_T_LUAD	60.316	1.1176	1.6294	4.0995
TCGA-62-A46U_T_LUAD	8.3596	0.8186	12.0963	4.1023
TCGA-MP-A4TJ_T_LUAD	30.6967	2.614	5.4768	2.0502
TCGA-62-A46V_T_LUAD	4.8997	0.4227	2.0782	13.5782
TCGA-50-5055_T_LUAD	34.1261	0.7137	6.1879	11.2375
TCGA-69-8453_T_LUAD	38.0716	1.3804	2.8739	9.4098
TCGA-91-6829_T_LUAD	250.6853	0.3844	2.5137	4.2386
